module,type,name,res_id,src,value,comments
school,model,"ir.actions.act_window,name",school.action_school_security,school.security,,
school,model_terms,"ir.actions.act_window,help",school.action_school_security,Create your first patient!,,
school,model,"ir.actions.act_window,name",school.action_school_view,school,المدرسة,
school,model_terms,"ir.actions.act_window,help",school.action_school_view,Create your first patient!,,
school,model,"ir.model,name",school.model_school_profile,School Profile,,
school,model,"ir.model,name",school.model_school_student_profile_security_example,School Student Profile,,
school,model,"ir.model,name",school.model_sequence_test,sequence.test,,
school,model,"ir.model.fields,field_description",school.field_school_profile____last_update,Last Modified on,,
school,model,"ir.model.fields,field_description",school.field_school_profile__address,Address,العموان,
school,model,"ir.model.fields,field_description",school.field_school_profile__auto_rank,Auto Rank,معدل تلقائي,
school,model,"ir.model.fields,field_description",school.field_school_profile__create_date,Created on,أُنشأ في,
school,model,"ir.model.fields,field_description",school.field_school_profile__create_uid,Created by,أنشأ بواسطة,
school,model,"ir.model.fields,field_description",school.field_school_profile__currency_id,Currency,العملة,
school,model,"ir.model.fields,field_description",school.field_school_profile__description,Description,الوصف,
school,model,"ir.model.fields,field_description",school.field_school_profile__display_name,Display Name,الاسم,
school,model,"ir.model.fields,field_description",school.field_school_profile__document,Document,الملف,
school,model,"ir.model.fields,field_description",school.field_school_profile__document_name,Document Name,اسم الملف,
school,model,"ir.model.fields,field_description",school.field_school_profile__email,Email,البريد الالكتروني,
school,model,"ir.model.fields,field_description",school.field_school_profile__establish_date,Establish Date,التاريخ,
school,model,"ir.model.fields,field_description",school.field_school_profile__id,ID,,
school,model,"ir.model.fields,field_description",school.field_school_profile__is_virtual_class,Is Virtual Class,,
school,model,"ir.model.fields,help",school.field_school_profile__is_virtual_class,Choose which the class is virtual or not,,
school,model,"ir.model.fields,field_description",school.field_school_profile__name,School Name,,
school,model,"ir.model.fields,field_description",school.field_school_profile__open_date,Open Date,,Address
school,model,"ir.model.fields,field_description",school.field_school_profile__phone,Phone,,Address
school,model,"ir.model.fields,field_description",school.field_school_profile__result,Result,,
school,model,"ir.model.fields,field_description",school.field_school_profile__school_image,School Image,,
school,model,"ir.model.fields,field_description",school.field_school_profile__school_rank,School Rank,,
school,model,"ir.model.fields,field_description",school.field_school_profile__school_type,School Type,,
school,model,"ir.model.fields,field_description",school.field_school_profile__sequence_name,Sequence Name,,
school,model,"ir.model.fields,field_description",school.field_school_profile__write_date,Last Updated on,,
school,model,"ir.model.fields,field_description",school.field_school_profile__write_uid,Last Updated by,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example____last_update,Last Modified on,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example__create_date,Created on,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example__create_uid,Created by,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example__display_name,Display Name,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example__email,Email,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example__id,ID,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example__name,Name,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example__phone,Phone,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example__write_date,Last Updated on,,
school,model,"ir.model.fields,field_description",school.field_school_student_profile_security_example__write_uid,Last Updated by,,
school,model,"ir.model.fields,field_description",school.field_sequence_test2____last_update,Last Modified on,,
school,model,"ir.model.fields,field_description",school.field_sequence_test2__create_date,Created on,,
school,model,"ir.model.fields,field_description",school.field_sequence_test2__create_uid,Created by,,
school,model,"ir.model.fields,field_description",school.field_sequence_test2__display_name,Display Name,,
school,model,"ir.model.fields,field_description",school.field_sequence_test2__id,ID,,
school,model,"ir.model.fields,field_description",school.field_sequence_test2__name,Name,,
school,model,"ir.model.fields,field_description",school.field_sequence_test2__write_date,Last Updated on,,
school,model,"ir.model.fields,field_description",school.field_sequence_test2__write_uid,Last Updated by,,
school,model,"ir.model.fields,field_description",school.field_sequence_test____last_update,Last Modified on,,
school,model,"ir.model.fields,field_description",school.field_sequence_test__create_date,Created on,,
school,model,"ir.model.fields,field_description",school.field_sequence_test__create_uid,Created by,,
school,model,"ir.model.fields,field_description",school.field_sequence_test__display_name,Display Name,,
school,model,"ir.model.fields,field_description",school.field_sequence_test__id,ID,,
school,model,"ir.model.fields,field_description",school.field_sequence_test__name,Name,,
school,model,"ir.model.fields,field_description",school.field_sequence_test__write_date,Last Updated on,,
school,model,"ir.model.fields,field_description",school.field_sequence_test__write_uid,Last Updated by,,
school,model,"ir.model.fields.selection,name",school.selection__school_profile__school_type__private,Private School,,
school,model,"ir.model.fields.selection,name",school.selection__school_profile__school_type__public,Public School,,
school,model,"ir.module.category,name",school.category_group,School Groups,,
school,model,"ir.module.category,name",school.category_student_group,Student Groups,,
school,model,"ir.module.category,name",school.category_sub_student_group,Student Sub Groups,,
school,model,"ir.ui.menu,name",school.all_school_menu,All Schools,,
school,model,"ir.ui.menu,name",school.all_school_security_menu,School Security,,
school,model,"ir.ui.menu,name",school.school_main_menu,School Profile,,
school,model,"ir.ui.menu,name",school.school_root_menu,School,,
school,model_terms,"ir.ui.view,arch_db",school.view_school_form,Special Command 0 0 vals,,
school,model_terms,"ir.ui.view,arch_db",school.view_school_form,Special Command Update 1 id vals,,
school,model_terms,"ir.ui.view,arch_db",school.view_school_form,Special Command  2 id 0,,
school,model_terms,"ir.ui.view,arch_db",school.view_school_form,Special Command 3 id 0,,
school,model_terms,"ir.ui.view,arch_db",school.view_school_form,Special Command 4 id 0,,
school,model_terms,"ir.ui.view,arch_db",school.view_school_form,Special Command  5 0 0,,
school,model_terms,"ir.ui.view,arch_db",school.view_school_form,School Result,,
school,model_terms,"ir.ui.view,arch_db",school.view_school_form,Choose your school type,,
school,model_terms,"ir.ui.view,arch_db",school.view_school_tree,Lawyers Total Details,,
school,model,"res.groups,name",school.school_group_access,First Group,,
school,model,"res.groups,name",school.school_group_access2,Second Group,,
school,model,"res.groups,name",school.school_group_access3,Thired School Group,,
school,model,"res.groups,name",school.school_group_access4,fourth School Group,,
school,model,"res.groups,name",school.student_admin_group,Student Admin Group,,
school,model,"res.groups,name",school.student_low_group,Student Low Group,,
school,model,"res.groups,name",school.student_mid_group,Student Mid Group,,
